                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.36705,                0.26415,                0.97901,                0.97097,                0.94773,                0.97287,                 0.9243,                0.36512,                 0.3462,                0.96856,             0.00011542,             0.00011542,             0.00011542
                     69,                 0.3639,                0.27224,                0.97968,                0.96849,                0.94153,                0.97002,                0.91767,                0.36964,                0.35384,                0.98106,             0.00011212,             0.00011212,             0.00011212
                     70,                0.36593,                0.25591,                  0.983,                0.97062,                0.95458,                0.97848,                0.93181,                0.37606,                0.33259,                0.97821,             0.00010882,             0.00010882,             0.00010882
                     71,                 0.3635,                0.25744,                0.97862,                0.97158,                0.94435,                0.97208,                0.91742,                0.37397,                0.33775,                0.97276,             0.00010553,             0.00010553,             0.00010553
                     72,                0.36771,                0.26172,                0.98354,                0.97532,                0.94478,                0.97519,                0.92766,                0.36483,                0.34152,                0.97276,             0.00010223,             0.00010223,             0.00010223
                     73,                0.36026,                0.25432,                0.97964,                0.97107,                0.94586,                0.97965,                0.93035,                0.36338,                0.35567,                0.96681,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                0.35539,                0.27737,                0.97365,                0.97601,                0.94328,                0.97467,                0.93049,                0.36354,                0.35018,                 0.9744,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                0.36254,                0.25926,                0.98007,                0.97719,                0.94487,                0.97457,                0.92295,                0.37092,                0.33063,                0.97451,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.37749,                0.27408,                 1.0016,                0.96389,                0.94469,                0.97544,                0.92636,                0.36433,                0.35219,                0.96683,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                0.36423,                0.25597,                0.98014,                 0.9706,                0.94386,                0.97032,                0.92462,                 0.3606,                0.36553,                0.96634,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.35185,                0.24842,                 0.9768,                0.97129,                0.94275,                0.97013,                0.92184,                 0.3646,                0.35719,                0.97539,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                0.36019,                 0.2513,                0.97727,                0.96915,                0.94437,                0.98114,                0.93192,                0.35932,                0.35203,                0.96729,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.35288,                0.25657,                0.97831,                0.96833,                0.94553,                0.97726,                0.93362,                0.35642,                 0.3569,                0.96664,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                0.35718,                 0.2476,                0.97958,                0.96855,                0.94715,                0.97223,                0.92515,                0.35812,                0.33157,                0.96273,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.35649,                0.24284,                0.97603,                0.97214,                0.94472,                0.97628,                0.93279,                0.35415,                0.31432,                0.96406,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                0.34489,                0.25109,                0.96795,                0.97243,                0.94409,                0.97921,                0.93162,                0.35602,                0.34519,                0.96389,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     84,                 0.3507,                 0.2435,                0.97259,                0.97304,                0.94797,                0.97995,                0.93605,                  0.363,                0.34788,                0.97053,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     85,                0.34852,                0.23652,                0.97513,                0.97573,                0.94519,                0.97857,                0.93667,                0.36451,                0.33196,                0.97038,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     86,                 0.3447,                0.24061,                0.97308,                 0.9769,                 0.9447,                0.97603,                0.93809,                0.34932,                 0.3314,                0.95653,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     87,                 0.3482,                 0.2361,                0.97366,                0.97275,                0.94278,                0.97834,                0.93461,                0.36431,                 0.3382,                0.96927,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     88,                0.34253,                 0.2343,                0.96949,                0.96911,                0.94374,                0.97442,                0.93695,                0.35233,                0.34471,                 0.9588,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     89,                0.34741,                 0.2542,                0.97298,                0.97466,                 0.9435,                0.97148,                0.93112,                 0.3533,                 0.3594,                0.96227,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     90,                0.34574,                0.23254,                0.97394,                0.97319,                 0.9442,                0.97911,                0.93987,                0.34816,                0.34133,                0.95666,              4.289e-05,              4.289e-05,              4.289e-05
                     91,                0.27258,                 0.1949,                 0.9567,                0.97628,                 0.9417,                0.97191,                0.92903,                0.35581,                0.34134,                0.96659,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     92,                0.26934,                0.18506,                0.95789,                0.96912,                0.93948,                0.97475,                0.93041,                0.35225,                0.32624,                0.96004,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     93,                0.27565,                0.20396,                0.97996,                 0.9686,                0.94315,                0.97537,                0.93205,                 0.3503,                0.32782,                0.95543,                3.3e-05,                3.3e-05,                3.3e-05
                     94,                0.25558,                0.17426,                0.94294,                0.96746,                0.94408,                0.97243,                0.93293,                0.35098,                  0.342,                0.95786,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     95,                0.26292,                0.18204,                0.95164,                0.96845,                0.94378,                 0.9756,                0.93138,                0.35131,                0.33218,                0.95583,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     96,                0.26034,                0.19202,                0.95015,                0.97267,                0.93889,                0.97731,                0.93845,                0.34716,                0.32292,                0.95152,              2.311e-05,              2.311e-05,              2.311e-05
                     97,                0.25579,                0.17339,                0.94321,                0.97303,                0.94025,                0.98048,                0.94036,                0.34555,                0.31233,                0.95051,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     98,                0.25228,                0.18699,                0.94239,                0.97698,                0.93924,                0.97826,                0.93939,                0.33953,                0.31815,                0.94622,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     99,                0.24899,                0.17091,                0.94162,                 0.9717,                0.93905,                0.98087,                 0.9433,                0.34098,                0.32212,                0.94916,              1.322e-05,              1.322e-05,              1.322e-05
                    100,                0.25325,                0.18185,                0.94254,                 0.9732,                0.94359,                0.98081,                0.94382,                0.34345,                 0.3225,                0.95064,             9.9234e-06,             9.9234e-06,             9.9234e-06
